site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week
Fichter,2007-08-16T00:00:00Z,2007,8,16,228,1.0256725848,6.8260278918999999,7.8517004767,-3.6712004933000006,32
Fichter,2007-08-23T00:00:00Z,2007,8,23,235,0.5941827388,"NA",0.5941827388,-7.2575177378999998,33
Fichter,2007-08-30T00:00:00Z,2007,8,30,242,8.8632258535,0,8.8632258535,8.2690431146999988,34
Fichter,2007-09-06T00:00:00Z,2007,9,6,249,1.71888578,0,1.71888578,-7.1443400734999996,35
Fichter,2007-09-13T00:00:00Z,2007,9,13,256,2.3201421229,0,2.3201421229,0.60125634290000018,36
Fichter,2007-09-20T00:00:00Z,2007,9,20,263,0.5446675105,0,0.5446675105,-1.7754746124,37
Fichter,2008-06-05T00:00:00Z,2008,6,5,157,0,0,0,-0.54466751049999995,22
Fichter,2008-06-12T00:00:00Z,2008,6,12,164,0.0495152282,0,0.0495152282,4.9515228199999997E-2,23
Fichter,2008-06-19T00:00:00Z,2008,6,19,171,0.0990304565,0,0.0990304565,4.9515228300000005E-2,24
Fichter,2008-06-26T00:00:00Z,2008,6,26,178,0.1768401008,0,0.1768401008,7.7809644300000008E-2,25
Fichter,2008-07-03T00:00:00Z,2008,7,3,185,3.0345761302,6.36624363E-2,3.0982385665,2.9213984657000003,26
Fichter,2008-07-10T00:00:00Z,2008,7,10,192,0.212208121,0,0.212208121,-2.8860304454999999,27
Fichter,2008-07-17T00:00:00Z,2008,7,17,199,1.0964086251,0,1.0964086251,0.88420050410000006,28
Fichter,2008-07-24T00:00:00Z,2008,7,24,206,0.4668578662,7.0736039999999998E-3,0.4739314702,-0.62247715490000011,29
Fichter,2008-07-31T00:00:00Z,2008,7,31,213,1.7684010083,0.1061040605,1.8745050688,1.4005735986000001,30
Fichter,2008-08-07T00:00:00Z,2008,8,7,220,0.8700532961,6.36624363E-2,0.9337157324,-0.94078933639999995,31
Fichter,2008-08-14T00:00:00Z,2008,8,14,227,0.4668578662,0,0.4668578662,-0.46685786620000003,32
Fichter,2008-08-21T00:00:00Z,2008,8,21,234,1.3298375582,9.9030456500000003E-2,1.4288680147,0.96201014849999988,33
Fichter,2008-08-26T00:00:00Z,2008,8,26,239,0.3607538057,0,0.3607538057,-1.068114209,34
Fichter,2008-09-04T00:00:00Z,2008,9,4,248,0.1414720807,0,0.1414720807,-0.21928172499999998,35
Fichter,2008-09-10T00:00:00Z,2008,9,10,254,0.212208121,0,0.212208121,7.0736040299999997E-2,36
Fichter,2008-09-17T00:00:00Z,2008,9,17,261,0.0565888323,1.4147208099999999E-2,0.0707360403,-0.1414720807,37
Fichter,2008-09-24T00:00:00Z,2008,9,24,268,0.0990304565,0,0.0990304565,2.8294416200000005E-2,38
Fichter,2009-05-15T00:00:00Z,2009,5,15,135,0,0,0,-9.9030456500000003E-2,19
Fichter,2009-05-29T00:00:00Z,2009,5,29,149,0.007073604,0,0.007073604,7.0736039999999998E-3,21
Fichter,2009-06-04T00:00:00Z,2009,6,4,155,0.0212208121,0,0.0212208121,1.4147208099999999E-2,22
