Date,daily_mean_PAR_umolm2s,sampling_time_temp,sampling_time
2014-09-17,NA,117,117
2014-09-19,NA,118,NA
2014-09-20,NA,118,NA
2014-09-21,NA,118,NA
2014-09-22,NA,118,NA
2014-09-23,NA,118,NA
2014-09-24,NA,118,NA
2014-09-25,NA,118,118
2014-09-27,NA,119,NA
2014-09-28,NA,119,NA
2014-09-29,NA,119,NA
2014-09-30,NA,119,NA
2014-10-01,NA,119,NA
2014-10-02,NA,119,NA
2014-10-03,NA,119,119
2014-10-04,NA,120,NA
2014-10-05,NA,120,NA
2014-10-06,NA,120,NA
2014-10-07,NA,120,NA
2014-10-08,NA,120,NA
2014-10-09,NA,120,NA
2014-10-10,NA,120,120
