date,ppt_mm,ma_3,ma_5,ma_7,ma_10,ma_14
2012-06-28,0,1.1066666666666667,0.8359999999999994,0.5971428571428576,0.4179999999999994,0.2985714285714283
2012-06-29,0.28,0.38999999999999985,0.8539999999999995,0.6371428571428577,0.44599999999999945,0.31857142857142834
2012-06-30,1.2,0.4933333333333331,0.9599999999999994,0.808571428571429,0.5659999999999994,0.404285714285714
2012-07-01,0,0.4933333333333331,0.4739999999999994,0.7814285714285719,0.5659999999999994,0.404285714285714
2012-07-02,0,0.39999999999999974,0.29599999999999943,0.6857142857142862,0.5659999999999994,0.404285714285714
2012-07-03,6.31,2.103333333333333,1.5579999999999994,1.2400000000000004,1.1969999999999994,0.8549999999999996
2012-07-04,9.36,5.223333333333333,3.3739999999999997,2.45,2.1139999999999994,1.5235714285714281
2012-07-05,0.54,5.403333333333332,3.2419999999999995,2.527142857142857,2.1009999999999995,1.5621428571428566
2012-07-06,0,3.2999999999999994,3.2419999999999995,2.4871428571428575,1.8579999999999994,1.5621428571428566
2012-07-07,0,0.17999999999999972,3.2419999999999995,2.315714285714286,1.7689999999999995,1.5621428571428566
2012-07-08,0.36,0.11999999999999972,2.0519999999999996,2.367142857142857,1.8049999999999993,1.574285714285714
2012-07-09,0,0.11999999999999972,0.17999999999999963,2.367142857142857,1.7769999999999992,1.526428571428571
2012-07-10,0,0.11999999999999972,0.07199999999999962,1.465714285714286,1.6569999999999994,1.3528571428571425
2012-07-11,0,-2.7755575615628914e-16,0.07199999999999962,0.12857142857142898,1.6569999999999994,1.2892857142857141
2012-07-12,0,-2.7755575615628914e-16,0.07199999999999962,0.05142857142857184,1.6569999999999994,1.2892857142857141
2012-07-13,0,-2.7755575615628914e-16,-3.774758283725532e-16,0.05142857142857184,1.0259999999999994,1.269285714285714
2012-07-14,0,-2.7755575615628914e-16,-3.774758283725532e-16,0.05142857142857184,0.08999999999999946,1.1835714285714283
2012-07-15,0,-2.7755575615628914e-16,-3.774758283725532e-16,4.123685520036296e-16,0.03599999999999945,1.1835714285714283
2012-07-16,2.78,0.9266666666666663,0.5559999999999996,0.3971428571428576,0.31399999999999945,1.3821428571428567
2012-07-17,0.08,0.953333333333333,0.5719999999999996,0.4085714285714289,0.32199999999999945,0.9371428571428568
2012-07-18,8.47,3.776666666666667,2.2659999999999996,1.618571428571429,1.1329999999999996,0.8735714285714283
2012-07-19,0,2.8499999999999996,2.2659999999999996,1.618571428571429,1.1329999999999996,0.8349999999999999
2012-07-20,0,2.8233333333333337,2.2659999999999996,1.618571428571429,1.1329999999999996,0.8349999999999999
2012-07-21,0,-2.7755575615628914e-16,1.7099999999999997,1.618571428571429,1.1329999999999996,0.8349999999999999
