site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_min,watertemp_mean,watertemp_median,watertemp_max
Coffin,2014-07-30,2014,7,30,211,0.360753806,0.084883248,0.445637054,0.141472081,30,859469.6,22.31,22.89083333,22.895,23.66
Coffin,2014-08-06,2014,8,6,218,0.162692893,0.028294416,0.190987309,-0.254649745,31,1269877.9,22.98,23.34458333,23.23,23.83
Coffin,2014-08-12,2014,8,12,224,0.091956852,0.021220812,0.113177665,-0.077809644,32,999756.4,23.14,23.76083333,23.83,24.18
Coffin,2014-08-20,2014,8,20,232,3.515581204,0.028294416,3.543875621,3.430697956,33,686912.9,20.82,21.92291667,21.81,23.14
Coffin,2014-08-27,2014,8,27,239,0.905421316,0.134398477,1.039819793,-2.504055828,34,854884.6,20.98,21.30291667,21.31,21.81
Coffin,2014-09-04,2014,9,4,247,0.749802028,0.021220812,0.77102284,-0.268796953,35,1041240.7,21.31,22.34791667,22.48,23.66
Coffin,2014-09-10,2014,9,10,253,0.954936545,0.014147208,0.969083753,0.198060913,36,826424.5,21.14,21.67083333,21.48,22.48
Coffin,2014-09-17,2014,9,17,260,0.021220812,0,0.021220812,-0.94786294,37,NA,NA,NA,NA,NA
Coffin,2014-09-25,2014,9,25,268,0.014147208,0,0.014147208,-0.007073604,38,NA,NA,NA,NA,NA
Coffin,2014-10-03,2014,10,3,276,0.049515228,0,0.049515228,0.03536802,39,NA,NA,NA,NA,NA
Coffin,2014-10-10,2014,10,10,283,0.007073604,0,0.007073604,-0.042441624,40,NA,NA,NA,NA,NA
Coffin,2015-05-14,2015,5,14,134,0,0,0,-0.007073604,19,NA,NA,NA,NA,NA
Coffin,2015-05-21,2015,5,21,141,0,0,0,0,20,NA,NA,NA,NA,NA
Coffin,2015-05-28,2015,5,28,148,0,0,0,0,21,NA,NA,NA,NA,NA
Coffin,2015-06-05,2015,6,5,156,0,0,0,0,22,NA,NA,NA,NA,NA
Coffin,2015-06-11,2015,6,11,162,0,0,0,0,23,954504.9,15.83,16.70125,16.78,17.1
Coffin,2015-06-19,2015,6,19,170,0,0.014147208,0.014147208,0.014147208,24,1164940.1,18.38,18.795,18.79,19.03
Coffin,2015-07-02,2015,7,2,183,0.007073604,0.007073604,0.014147208,0,26,1303031,19.52,19.9125,20.01,20.17
Coffin,2015-07-09,2015,7,9,190,0.03536802,0.014147208,0.049515228,0.03536802,27,802679.1,21.31,21.8725,21.895,22.48
Coffin,2015-07-16,2015,7,16,197,0.091956852,0.028294416,0.120251269,0.07073604,28,1864479.1,22.48,22.81125,22.81,23.32
Coffin,2015-07-23,2015,7,23,204,0.134398477,0.049515228,0.183913705,0.063662436,29,1200967.6,22.81,23.01083333,22.98,23.14
Coffin,2015-07-30,2015,7,30,211,0.077809644,0.028294416,0.106104061,-0.077809644,30,825660.4,23.49,24.29833333,24.265,25.22
Coffin,2015-08-06,2015,8,6,218,0.042441624,0.014147208,0.056588832,-0.049515228,31,1211472.7,23.14,23.48791667,23.49,24
Coffin,2015-08-13,2015,8,13,225,0.155619289,0.021220812,0.176840101,0.120251269,32,1420196.8,22.31,22.79666667,22.725,23.32
Coffin,2015-08-20,2015,8,20,232,0.459784262,0.049515228,0.50929949,0.33245939,33,1411564.1,24.87,25.19583333,25.04,25.74
Coffin,2015-08-25,2015,8,25,237,0.43856345,0.021220812,0.459784262,-0.049515228,34,392421.9,24.35,24.77333333,24.78,25.22
Coffin,2015-09-03,2015,9,3,246,3.3316675,0.381974618,3.713642117,3.253857855,35,1000187.4,22.81,23.36833333,23.49,23.83
Coffin,2015-09-10,2015,9,10,253,0.594182739,0.03536802,0.629550759,-3.084091359,36,204977.7,23.32,23.63166667,23.66,23.83
Coffin,2015-09-17,2015,9,17,260,0.700286799,0,0.700286799,0.07073604,37,872322.1,20.98,21.55916667,21.64,22.14
Coffin,2015-09-24,2015,9,24,267,0.169766497,0.007073604,0.176840101,-0.523446699,38,NA,NA,NA,NA,NA
Coffin,2015-10-02,2015,10,2,275,0.063662436,0,0.063662436,-0.113177665,39,NA,NA,NA,NA,NA
Coffin,2015-10-10,2015,10,10,283,0.127324873,0.03536802,0.162692893,0.099030457,40,NA,NA,NA,NA,NA
Coffin,2015-10-12,2015,10,12,285,0.014147208,0,0.014147208,-0.148545685,41,NA,NA,NA,NA,NA
Coffin,2016-05-26,2016,5,26,147,0.007073604,0,0.007073604,-0.007073604,21,NA,NA,NA,NA,NA
Coffin,2016-06-03,2016,6,3,155,0.084883248,0.042441624,0.127324873,0.120251269,22,NA,NA,NA,NA,NA
Coffin,2016-06-16,2016,6,16,168,0.183913705,0.183913705,0.36782741,0.240502537,24,NA,15.67,16.19333333,16.31,17.9
Coffin,2016-06-23,2016,6,23,175,0.056588832,0.042441624,0.099030457,-0.268796953,25,1351791.4,18.71,19.1825,19.36,19.52
Coffin,2016-06-30,2016,6,30,182,0.028294416,0.03536802,0.063662436,-0.03536802,26,1503908.2,21.48,21.95541667,22.14,22.31
Coffin,2016-07-07,2016,7,7,189,0.028294416,0.014147208,0.042441624,-0.021220812,27,457564.8,22.48,23.13125,23.06,23.83
Coffin,2016-07-14,2016,7,14,196,0.134398477,0.141472081,0.275870557,0.233428933,28,399396.6,21.64,22.36583333,22.31,23.32
Coffin,2016-07-21,2016,7,21,203,0.049515228,0.028294416,0.077809644,-0.198060913,29,1509483.7,22.48,22.8875,22.98,23.32
Coffin,2016-07-27,2016,7,27,209,0.523446698,0.148545685,0.671992383,0.594182739,30,1602947.7,23.14,23.73791667,23.83,24.18
Coffin,2016-08-15,2016,8,15,228,0.477468272,0.343069796,0.820538068,0.148545685,33,867004.8,24,24.36958333,24.35,24.69
Coffin,2016-08-22,2016,8,22,235,1.294469538,0.396121826,1.690591364,0.870053296,34,1409831.2,23.14,23.83083333,23.83,24.35
Coffin,2016-08-31,2016,8,31,244,0.551741115,0.077809644,0.629550759,-1.061040605,35,635085,22.48,22.74166667,22.725,23.14
Coffin,2016-09-07,2016,9,7,251,0.488078678,0.028294416,0.516373094,-0.113177665,36,426285.5,22.31,22.7275,22.725,23.32
Coffin,2016-09-14,2016,9,14,258,0.318312182,0.014147208,0.33245939,-0.183913705,37,471806,21.14,21.55208333,21.64,22.14
Coffin,2016-09-21,2016,9,21,265,0.608329947,0.056588832,0.664918779,0.33245939,38,760247.5,20.49,20.99,20.98,21.48
Coffin,2016-09-28,2016,9,28,272,0.028294416,0.021220812,0.049515228,-0.615403551,39,NA,NA,NA,NA,NA
Coffin,2016-10-05,2016,10,5,279,0.049515228,0,0.049515228,0,40,NA,NA,NA,NA,NA
Fichter,2007-06-21,2007,6,21,172,0,0,0,NA,24,NA,NA,NA,NA,NA
Fichter,2007-06-28,2007,6,28,179,0.084883248,0,0.084883248,0.084883248,25,NA,NA,NA,NA,NA
Fichter,2007-07-05,2007,7,5,186,0.608329947,0.099030457,0.707360403,0.622477155,26,NA,19.66,20.38291667,20.31,21.13
Fichter,2007-07-12,2007,7,12,193,0.007073604,0.007073604,0.014147208,-0.693213195,27,NA,20.47,21.04541667,21.13,21.63
Fichter,2007-07-19,2007,7,19,200,0.113177665,0.021220812,0.134398477,0.120251269,28,NA,21.63,21.81958333,21.79,21.96
Fichter,2007-07-26,2007,7,26,207,1.032746189,1.909873089,2.942619278,2.808220801,29,NA,22.46,22.92291667,22.79,24.68
Fichter,2007-08-02,2007,8,2,214,0.997378169,3.077017754,4.074395923,1.131776645,30,NA,24.86,25.225,25.285,25.72
Fichter,2007-08-09,2007,8,9,221,1.676444156,9.846456814,11.52290097,7.448505047,31,NA,23.13,23.69708333,23.81,24.16
Fichter,2007-08-16,2007,8,16,228,1.025672585,6.826027892,7.851700477,-3.671200493,32,NA,22.79,23.3425,23.385,23.98
Fichter,2007-08-23,2007,8,23,235,0.594182739,NA,0.594182739,-7.257517738,33,NA,20.47,20.59666667,20.63,20.79
Fichter,2007-08-30,2007,8,30,242,8.863225854,0,8.863225854,8.269043115,34,NA,22.63,23.0175,22.96,23.64
