Date,daily_mean_wnd_ms,sampling_time_temp,sampling_time
2013-10-01,3.020833333,100,NA
2013-10-02,3.5875,100,100
2014-06-09,3.483333333,103,NA
2014-06-10,2.557342657,103,NA
2014-06-11,3.202797203,103,NA
2014-06-12,3.4625,103,103
2014-06-13,4.401388889,104,NA
2014-06-14,2.872916667,104,NA
2014-06-15,4.966666667,104,NA
2014-06-16,1.956944444,104,NA
2014-06-17,2.167132867,104,NA
2014-06-18,5.04375,104,NA
2014-06-19,4.165972222,104,104
2014-06-20,4.305555556,105,NA
2014-06-21,3.327083333,105,NA
2014-06-22,2.124305556,105,NA
2014-06-23,2.310416667,105,NA
2014-06-24,4.470833333,105,NA
2014-06-25,3.006944444,105,NA
2014-06-26,3.167361111,105,105
2014-06-27,1.554861111,106,NA
2014-06-28,2.040277778,106,NA
2014-06-29,2.288888889,106,NA
2014-06-30,3.452083333,106,NA
2014-07-01,4.122916667,106,NA
2014-07-02,3.311805556,106,106
2014-07-03,2.343055556,107,NA
2014-07-04,3.673611111,107,NA
2014-07-05,7.236805556,107,NA
2014-07-06,4.56875,107,NA
2014-07-07,3.670138889,107,NA
2014-07-08,4.21958042,107,NA
2014-07-09,4.106293706,107,107
2014-07-11,1.466666667,108,NA
2014-07-12,2.18125,108,NA
2014-07-13,5.0375,108,NA
2014-07-14,2.925694444,108,NA
2014-07-15,3.089583333,108,NA
2014-07-16,2.025874126,108,NA
2014-07-17,3.034722222,108,108
2014-07-18,2.577083333,109,NA
2014-07-19,2.024305556,109,NA
2014-07-20,2.588888889,109,NA
2014-07-21,1.621527778,109,NA
2014-07-22,2.269230769,109,NA
2014-07-23,3.925174825,109,109
2014-07-24,4.03125,110,NA
2014-07-25,3.35,110,NA
2014-07-26,3.391666667,110,NA
2014-07-27,2.9,110,NA
2014-07-28,3.191608392,110,NA
2014-07-29,3.588811189,110,NA
2014-07-30,1.882517483,110,110
2014-07-31,2.279861111,111,NA
2014-08-01,2.078472222,111,NA
2014-08-02,2.542361111,111,NA
2014-08-03,1.961111111,111,NA
2014-08-04,2.1875,111,NA
2014-08-05,2.411888112,111,NA
2014-08-06,3.412587413,111,111
2014-08-07,3.390277778,112,NA
2014-08-08,3.515277778,112,NA
2014-08-09,2.863194444,112,NA
2014-08-10,2.138194444,112,NA
2014-08-11,1.931944444,112,NA
2014-08-12,3.714685315,112,112
2014-08-14,4.797916667,113,NA
2014-08-15,3.235416667,113,NA
2014-08-16,3.745138889,113,NA
2014-08-17,3.550694444,113,NA
2014-08-18,4.188194444,113,NA
2014-08-19,2.405594406,113,NA
2014-08-20,1.906993007,113,113
2014-08-21,2.556944444,114,NA
2014-08-22,3.225694444,114,NA
2014-08-23,2.019444444,114,NA
2014-08-24,2.077083333,114,NA
2014-08-25,2.052777778,114,NA
2014-08-26,2.108333333,114,NA
2014-08-27,3.399305556,114,114
2014-08-29,2.261111111,115,NA
2014-08-30,4.30625,115,NA
2014-08-31,2.845138889,115,NA
2014-09-01,2.136111111,115,NA
2014-09-02,2.279861111,115,NA
2014-09-03,3.559027778,115,NA
2014-09-04,2.08125,115,115
2014-09-05,3.86875,116,NA
2014-09-06,4.164583333,116,NA
2014-09-07,3.338194444,116,NA
2014-09-08,2.549305556,116,NA
2014-09-09,3.239583333,116,NA
2014-09-10,2.564583333,116,116
2014-09-11,4.979861111,117,NA
2014-09-12,4.824305556,117,NA
2014-09-13,4.297222222,117,NA
2014-09-14,4.645833333,117,NA
2014-09-15,1.713888889,117,NA
2014-09-16,2.072222222,117,NA
2014-09-17,2.136111111,117,117
2014-09-19,3.534722222,118,NA
2014-09-20,4.626388889,118,NA
2014-09-21,3.022222222,118,NA
2014-09-22,5.844444444,118,NA
2014-09-23,3.504861111,118,NA
2014-09-24,2.295833333,118,NA
2014-09-25,1.497222222,118,118
2014-09-27,2.399305556,119,NA
2014-09-28,2.270138889,119,NA
2014-09-29,3.159722222,119,NA
2014-09-30,2.850694444,119,NA
2014-10-01,2.691666667,119,NA
2014-10-02,2.943055556,119,NA
2014-10-03,2.797916667,119,119
2014-10-04,4.293055556,120,NA
2014-10-05,4.057638889,120,NA
2014-10-06,3.501388889,120,NA
2014-10-07,4.764583333,120,NA
2014-10-08,5.779861111,120,NA
2014-10-09,5.266666667,120,NA
2014-10-10,3.458333333,120,120
