date,log_gloeo,date_1weeklag,site,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs
2016-07-07,-0.511780809,2016-06-30,midge,23.42041667,23.31,24,22.97,0.332467444,1.03,0.014195625,24
2016-07-14,0.947768179,2016-07-07,midge,23.62833333,23.48,24.69,22.47,0.69007036,2.22,0.029205207,24
2016-07-21,0.561876942,2016-07-14,midge,24.13541667,24.17,24.52,23.83,0.168083291,0.69,0.006964176,24
2016-07-27,0.868968494,2016-07-20,midge,23.68625,23.66,24,23.48,0.141937295,0.52,0.005992392,24
2016-08-04,0.210440342,2016-07-28,midge,24.97125,25.04,25.56,24.34,0.407754322,1.22,0.016328951,24
2016-08-15,0.613823556,2016-08-08,midge,24.59041667,24.52,24.87,24.34,0.162760939,0.53,0.006618877,24
2016-08-22,-0.233858277,2016-08-15,midge,25.35333333,25.38,25.56,25.21,0.122249448,0.35,0.004821829,24
2016-08-31,0.340313935,2016-08-24,midge,23.58333333,23.31,24.17,23.14,0.423963356,1.03,0.017977245,24
2016-09-07,-0.255440172,2016-08-31,midge,23.69333333,23.66,23.83,23.48,0.13582811,0.35,0.005732756,24
2016-09-14,0.160353031,2016-09-07,midge,22.28583333,22.3,22.47,22.13,0.131840373,0.34,0.005915883,24
2016-09-21,0.021393327,2016-09-14,midge,22.20166667,22.13,22.47,21.97,0.120241303,0.5,0.005415868,24
2016-09-28,-0.959777296,2016-09-21,midge,22.08416667,22.13,22.3,21.8,0.158029075,0.5,0.007155764,24
2016-10-05,-0.860125707,2016-09-28,midge,19.03230769,19.02,19.34,18.86,0.152651774,0.48,0.008020666,13
