date,ppt_mm,sum_3,sum_5,sum_7,sum_10,sum_14
2006-08-31,0,0.8200000000000032,14.739999999999997,15.28,19.529999999999983,50.33
2006-09-01,0,0.8000000000000032,14.739999999999997,14.75,19.529999999999983,50.33
2006-09-02,0,3.1624008967057193e-15,0.8199999999999963,14.74,15.299999999999985,50.33
2006-09-03,2.14,2.1400000000000032,2.9399999999999964,16.88,17.419999999999984,27.610000000000003
2006-09-04,13.68,15.820000000000004,15.819999999999995,16.64,30.569999999999986,35.35
2006-09-05,0,15.820000000000004,15.819999999999995,16.62,30.559999999999985,35.35
2006-09-06,3.98,17.660000000000004,19.799999999999994,19.8,34.539999999999985,35.1
2006-09-07,0,3.980000000000003,19.799999999999994,19.8,20.619999999999983,35.08
2006-09-08,0,3.980000000000003,17.659999999999997,19.8,20.599999999999984,34.550000000000004
2006-09-09,0,3.1624008967057193e-15,3.9799999999999955,19.8,19.799999999999986,34.54
2006-09-10,10.33,10.330000000000004,14.309999999999995,27.99,30.129999999999985,44.870000000000005
2006-09-11,0,10.330000000000004,10.329999999999995,14.309999999999999,30.129999999999985,30.950000000000003
2006-09-12,0,10.330000000000004,10.329999999999995,14.309999999999999,30.129999999999985,30.93
2006-09-13,0,3.1624008967057193e-15,10.329999999999995,10.329999999999998,27.989999999999984,30.130000000000003
2006-09-14,0,3.1624008967057193e-15,10.329999999999995,10.329999999999998,14.309999999999985,30.130000000000003
2006-09-15,5.95,5.950000000000004,5.949999999999996,16.279999999999998,20.259999999999984,36.08
2006-09-16,0,5.950000000000004,5.949999999999996,16.279999999999998,16.279999999999987,36.08
2006-09-17,0,5.950000000000004,5.949999999999996,5.949999999999999,16.279999999999987,33.94
2006-09-18,0,3.1624008967057193e-15,5.949999999999996,5.949999999999999,16.279999999999987,20.26
2006-09-19,0,3.1624008967057193e-15,5.949999999999996,5.949999999999999,16.279999999999987,20.26
2006-09-20,6.65,6.650000000000004,6.649999999999996,12.6,12.599999999999985,22.930000000000003
2006-09-21,0,6.650000000000004,6.649999999999996,12.6,12.599999999999985,22.930000000000003
2006-09-22,0,6.650000000000004,6.649999999999996,6.6499999999999995,12.599999999999985,22.930000000000003
2006-09-23,1.3,1.300000000000003,7.949999999999996,7.949999999999999,13.899999999999986,24.23
2006-09-24,7.42,8.720000000000002,15.369999999999996,15.37,21.319999999999986,21.32
2006-09-25,8.16,16.880000000000003,16.879999999999995,23.529999999999998,23.529999999999987,29.48
2006-09-26,0,15.580000000000004,16.879999999999995,23.529999999999998,23.529999999999987,29.48
2006-09-27,0,8.160000000000004,16.879999999999995,16.88,23.529999999999987,29.48
2006-09-28,0,2.940356291780688e-15,15.579999999999995,16.88,23.529999999999987,29.48
2006-09-29,6.81,6.810000000000002,14.969999999999995,23.689999999999998,30.339999999999986,30.34
2006-09-30,13.07,19.880000000000003,19.879999999999995,35.46,36.759999999999984,43.410000000000004
2006-10-01,0.58,20.460000000000004,20.459999999999994,28.619999999999997,37.33999999999998,43.99
